"VOLE_ID","TRT","SEX","NULL_CHECK","SP_INDEX","NO_TRIAL2_OBJ1_TOT_DUR","NO_TRIAL2_OBJ2_TOT_DUR","NO_TRIAL2_TOT_DIST","NO_TRIAL3_OBJ1_TOT_DUR","NO_TRIAL3_OBJ2_TOT_DUR","NO_TRIAL3_TOT_DIST","NS_BOUTS_EMPTY","NS_BOUTS_STRANGER","NS_DUR_EMPTY","NS_DUR_STRANGER","NS_INDEX","NS_LAT_EMPTY","NS_LAT_STRANGER","NS_PCT_WSTRANGER","NS_TOT_DIST","OF_BOUTS_CENTER","OF_DUR_CENTER","OF_TOT_DIST","PP_INDEX","PP_PARTNER_LAT","PP_PARTNER_TOT_BOUTS","PP_PARTNER_TOT_DUR","PP_STRANGER_LAT","PP_STRANGER_TOT_BOUTS","PP_STRANGER_TOT_DUR","PP_TOT_DIST","SP_BOUTS_CAGEMATE","SP_BOUTS_STRANGER","SP_DUR_CAGEMATE","SP_DUR_STRANGER","SP_LAT_CAGEMATE","SP_LAT_STRANGER","SP_TOT_DIST"
"238","CTRL","M","Complete Data","0.1677","16.3200","99.5000","7584.0900","2.6700","102.8000","6060.0000","11.0000","8.0000","226.3600","268.9700","0.0860","234.1300","8.1100","0.5430","9433.1300","15.0000","36.5400","62424.0300","0.3688","0.0000","22.0000","303.4700","20.0200","15.0000","139.9400","17527.8800","13.0000","14.0000","188.4600","264.4000","44.1800","2.5000","10550.9300"
"95","MID","M","Complete Data","0.1886","3.5000","3.4700","4374.8000","0.0000","6.8100","4953.2100","26.0000","40.0000","108.1700","92.9900","-0.0755","44.0100","3.6400","0.4623","8783.4500","15.0000","44.2800","71216.6100","0.5452","0.0000","12.0000","286.8500","16.8800","6.0000","84.4200","7223.3400","18.0000","28.0000","77.8100","113.9800","10.4100","1.0700","10313.3300"
"192","5MT","M","Complete Data","0.2309","5.0400","31.2300","6812.0700","5.7100","26.9600","9197.0400","19.0000","12.0000","350.0500","55.5600","-0.7260","11.3800","5.1100","0.1370","9828.4300","19.0000","35.0000","64508.2300","-0.7427","34.6000","8.0000","65.7000","0.4300","13.0000","444.9800","16155.3300","13.0000","16.0000","167.9700","268.8400","7.3400","58.4300","12605.2300"
"88","LOW","M","Incomplete Data","0.2417","","","","","","","15.0000","0.0000","51.7200","0.0000","-1.0000","190.9600","600.0000","0.0000","2608.7000","5.0000","17.3200","30262.2900","","","","","","","","","12.0000","13.0000","41.1400","67.3700","13.6800","169.9700","4202.6100"
"7","CTRL","F","Incomplete Data","0.2466","","","","","","","17.0000","18.0000","157.5200","209.2100","0.1409","82.7200","7.9100","0.5705","10094.0000","15.0000","67.9700","58493.9600","","","","","","","","","18.0000","23.0000","125.5600","207.7400","1.3700","12.5100","8543.7100"
"247","CTRL","F","Complete Data","0.2532","64.7000","49.5200","14031.2300","50.2800","30.6300","9537.2600","18.0000","20.0000","142.2400","276.5400","0.3207","5.5100","57.9900","0.6603","12475.7100","12.0000","19.4200","59597.5500","0.5735","0.4700","25.0000","307.6100","54.2500","12.0000","83.3800","16412.9500","11.0000","19.0000","161.6600","271.3000","29.0600","0.1000","9627.9600"
"106","LOW","F","Complete Data","0.2684","0.7300","4.9400","4793.7200","11.0800","45.9800","3962.3200","35.0000","26.0000","117.4200","109.1100","-0.0367","8.6800","74.4400","0.4817","7762.8900","1.0000","1.7400","20048.7700","0.4910","8.6800","16.0000","324.7200","26.0900","12.0000","110.8400","14211.7900","9.0000","33.0000","49.5800","85.9500","9.9400","52.1500","6387.3000"
"242","LOW","F","Complete Data","0.2814","23.4900","12.8800","5451.7700","11.2400","25.7900","6568.1200","9.0000","9.0000","162.0000","338.5700","0.3527","240.3700","0.0000","0.6764","5598.6100","5.0000","7.4700","78511.7100","0.1772","63.9600","14.0000","226.8900","3.7000","12.0000","158.5900","9323.7900","17.0000","18.0000","128.4600","229.0600","0.2700","27.1900","10817.8700"
"92","MID","F","Complete Data","0.3763","15.9800","21.2500","9881.9400","20.3500","25.7300","10889.5600","10.0000","20.0000","37.7000","61.3900","0.2391","232.7300","4.0400","0.6195","6095.5500","1.0000","0.6000","72732.1700","0.2103","1.4000","23.0000","244.6400","13.3500","21.0000","159.6300","21055.8400","22.0000","39.0000","96.4600","212.8500","34.0700","4.0400","14555.6500"
"100","LOW","F","Complete Data","0.4097","21.4900","55.0200","8944.6300","12.3500","40.3100","5641.6900","13.0000","34.0000","49.6200","133.5300","0.4581","51.2500","14.9800","0.7291","11403.5500","13.0000","21.0500","89651.4100","-0.1069","15.6200","27.0000","150.6500","2.5000","33.0000","186.7200","24046.7300","17.0000","31.0000","71.6700","171.1400","37.8400","202.9400","6357.6500"
"61","MID","F","Complete Data","0.6229","42.4100","60.8900","2943.5300","24.1600","42.0400","4228.6000","6.0000","4.0000","15.6800","4.9700","-0.5186","172.7400","7.9400","0.2407","4435.9000","18.0000","62.7300","41362.8600","0.9136","14.9800","11.0000","244.5800","0.9700","4.0000","11.0400","6150.9600","4.0000","15.0000","14.2800","61.4600","57.7200","28.9300","3205.7100"
"240","LOW","M","Complete Data","0.7711","16.3800","27.6900","4993.3500","8.7800","22.5600","8253.8900","10.0000","10.0000","309.0800","204.6400","-0.2033","6.0700","35.0400","0.3983","7017.3800","13.0000","23.4200","50260.2100","0.1217","0.4000","16.0000","258.6600","27.4300","17.0000","202.5400","12960.2000","6.0000","16.0000","56.3900","436.2700","129.3600","1.5300","7776.5500"
"115","MID","M","Complete Data","0.8196","0.0000","0.0000","35.1400","18.2200","43.6800","9170.8900","36.0000","8.0000","120.9200","29.5300","-0.6074","6.4400","35.1400","0.1963","12071.3800","10.0000","14.9500","66547.3700","-0.6690","0.0000","12.0000","82.6200","15.2500","9.0000","416.5800","10750.2600","3.0000","35.0000","12.1800","122.8600","10.7800","20.0900","5397.7000"
"101","LOW","M","Complete Data","1.0000","28.6600","9.4100","2622.4300","0.0000","8.9800","1291.0300","9.0000","11.0000","23.3200","50.2200","0.3658","246.9500","19.6900","0.6829","1867.9400","16.0000","88.3600","26208.9900","-0.6798","195.0600","4.0000","60.9600","14.6800","8.0000","319.8500","3639.5600","0.0000","10.0000","0.0000","38.1700","600.0000","7.9700","493.8700"
"112","MID","F","Incomplete Data","","","","","10.2400","55.1600","7808.2600","30.0000","2.0000","57.5200","3.0400","-0.8996","14.5100","167.1000","0.0502","10298.4000","28.0000","68.4400","73547.9000","-0.1080","23.6200","14.0000","149.3800","6.6400","14.0000","185.5500","11525.0500","0.0000","0.0000","0.0000","0.0000","600.0000","600.0000","8968.6600"
"40","MID","M","Complete Data","-1.0000","37.2700","76.1400","12635.2600","36.6400","34.8000","8731.4600","28.0000","7.0000","105.1400","26.4300","-0.5982","244.7800","35.7700","0.2009","3779.0700","26.0000","39.8400","70622.7400","0.3930","12.3500","19.0000","271.6700","196.1600","10.0000","118.3900","11828.3700","21.0000","0.0000","70.0400","0.0000","32.9000","600.0000","5961.2600"
"42","MID","M","Complete Data","-1.0000","68.0300","61.2600","7405.3300","32.8300","42.9100","7486.7200","36.0000","1.0000","101.3300","2.6700","-0.9487","12.3500","70.9700","0.0257","4488.3200","17.0000","52.9500","56482.7800","-0.8413","224.0900","5.0000","22.5600","231.7000","13.0000","261.7600","9208.2300","15.0000","0.0000","29.5600","0.0000","11.4400","600.0000","7285.1200"
"141","HIGH","M","Complete Data","-1.0000","58.6600","78.5100","6428.1800","15.8500","43.4800","7017.1800","19.0000","21.0000","39.1700","69.8700","0.2815","73.4700","10.2800","0.6408","6506.4300","34.0000","83.2800","62181.8800","0.3646","25.1300","12.0000","237.7700","11.1800","16.0000","110.7100","9744.9000","20.0000","0.0000","85.6200","0.0000","21.7600","600.0000","3440.0000"
"207","LOW","F","Complete Data","-1.0000","16.3200","50.8800","4281.8200","22.0600","37.5400","4840.8100","24.0000","0.0000","275.9400","0.0000","-1.0000","12.5500","600.0000","0.0000","8801.5200","5.0000","3.5700","40334.0200","-0.1443","13.1100","5.0000","199.4700","2.4400","15.0000","266.7300","8880.1300","20.0000","0.0000","272.7700","0.0000","7.1700","600.0000","6595.8500"
"19","CTRL","M","Complete Data","-1.0000","43.8400","57.9900","5940.1500","48.1100","43.0100","8982.1600","28.0000","5.0000","158.0900","19.1200","-0.7842","15.0200","68.6700","0.1079","5184.7700","7.0000","40.6100","43037.3100","0.7389","9.4100","6.0000","446.1100","1.2000","6.0000","66.9700","4064.3600","10.0000","0.0000","39.5700","0.0000","114.6100","600.0000","828.1500"
"200","HIGH","F","Complete Data","-0.9913","79.8800","29.2000","3480.0700","133.9000","26.1600","2348.0500","7.0000","1.0000","462.6300","5.4700","-0.9766","25.2600","11.7100","0.0117","3849.3100","4.0000","6.2100","47353.9800","1.0000","565.5700","1.0000","31.2300","600.0000","0.0000","0.0000","2489.4300","9.0000","1.0000","429.6000","1.8700","17.0500","576.8100","3362.7700"
"125","HIGH","M","Complete Data","-0.9875","26.8600","148.8200","3960.8400","78.1100","20.0200","4101.0300","22.0000","9.0000","89.0600","17.1800","-0.6766","98.4300","3.6000","0.1617","5125.0900","7.0000","13.3500","52727.7700","0.9182","7.5400","15.0000","342.4400","61.4300","2.0000","14.6100","7039.2600","37.0000","1.0000","191.4200","1.2000","9.7800","2.6000","3666.5200"
"129","HIGH","F","Complete Data","-0.9616","60.1900","44.9400","8511.7700","35.4000","67.7000","8709.9200","29.0000","10.0000","119.9200","29.1600","-0.6088","49.1200","70.4400","0.1956","8455.8900","2.0000","2.5000","57379.9100","0.5901","12.5800","26.0000","271.3400","0.0000","15.0000","69.9400","17574.5300","16.0000","2.0000","228.2300","4.4700","26.9600","258.9900","5366.4800"
"162","5MT","F","Complete Data","-0.9545","9.0800","46.1800","2783.1000","9.9800","63.9600","6906.6500","8.0000","2.0000","423.9200","15.8800","-0.9278","15.3800","213.6500","0.0361","3178.1000","23.0000","73.0400","61033.1500","0.5849","32.1300","11.0000","298.9000","79.5500","8.0000","78.2800","8816.8200","6.0000","1.0000","470.0700","10.9400","10.4100","447.7800","2702.0800"
"176","5MT","M","Incomplete Data","-0.9422","","","","","","","19.0000","17.0000","228.8300","73.5100","-0.5137","9.9400","1.7400","0.2431","11420.9900","23.0000","165.5000","68199.7200","","","","","","","","","16.0000","2.0000","129.9300","3.8700","8.1400","2.3700","4443.3800"
"68","HIGH","M","Complete Data","-0.9421","72.0400","86.1900","5922.7200","107.3400","33.4700","7648.8300","23.0000","40.0000","74.9100","131.5600","0.2744","61.2600","6.4700","0.6372","8452.4400","7.0000","25.5300","44277.6000","0.1551","12.2100","10.0000","238.4700","5.1400","12.0000","174.4400","7846.6500","23.0000","2.0000","146.6800","4.3700","77.4100","59.6900","3964.8700"
"14","CTRL","F","Complete Data","-0.9407","23.0900","88.7900","5885.3300","14.0800","22.4200","3782.5300","19.0000","28.0000","107.6400","112.7100","0.0230","48.1100","5.8400","0.5115","6944.8300","23.0000","42.8100","75383.3700","0.6272","9.7400","9.0000","369.8700","41.4100","12.0000","84.7500","8447.4200","30.0000","2.0000","138.8400","4.2400","30.8300","76.4100","3137.8200"
"198","HIGH","M","Complete Data","-0.9153","99.9000","42.2800","4442.3100","67.7300","60.6600","4189.1900","4.0000","4.0000","170.9400","204.4700","0.0893","173.0100","21.2500","0.5447","3710.4100","7.0000","20.0200","70171.5500","-0.7154","23.6600","6.0000","42.1800","64.5000","7.0000","254.2500","8811.2200","4.0000","1.0000","15.1500","0.6700","205.8700","44.0100","2347.8100"
"137","HIGH","F","Complete Data","-0.8774","36.3700","87.8200","8951.2300","30.4000","34.7700","8204.1300","18.0000","11.0000","117.1200","35.2000","-0.5378","171.1700","7.0100","0.2311","4110.3000","23.0000","136.1400","59164.9700","-0.2162","51.3200","7.0000","172.5100","2.4400","9.0000","267.7000","7509.1900","9.0000","2.0000","45.9500","3.0000","96.2300","20.2200","1870.3000"
"10","CTRL","F","Incomplete Data","-0.8768","","","","","","","19.0000","33.0000","101.8400","266.0000","0.4463","32.2000","0.0000","0.7231","17225.1300","16.0000","44.1800","97831.4400","","","","","","","","","11.0000","9.0000","515.1500","33.8300","1.4300","5.6700","12576.9000"
"90","LOW","F","Complete Data","-0.8726","121.6900","78.5500","7748.2100","90.1600","65.2300","8073.4600","20.0000","3.0000","101.7000","15.7800","-0.7314","40.5400","494.3900","0.1343","3555.7100","20.0000","57.2900","61128.9800","0.2044","14.0800","10.0000","300.8000","0.1000","13.0000","198.7000","10067.4600","8.0000","7.0000","320.6500","21.8200","40.5700","481.0800","3340.0300"
"72","HIGH","F","Complete Data","-0.8581","9.0400","24.3600","6491.8800","11.8500","63.2600","14877.0500","16.0000","8.0000","46.5100","18.3200","-0.4348","22.7900","474.1400","0.2826","4992.6000","4.0000","15.6500","27873.5100","0.0550","91.4900","11.0000","227.3300","3.0000","12.0000","203.6400","9085.2400","32.0000","10.0000","183.1200","13.9800","30.1600","12.7800","7088.1600"
"94","MID","M","Incomplete Data","-0.8433","","","","","","","11.0000","0.0000","53.4900","0.0000","-1.0000","4.4400","600.0000","0.0000","928.4500","9.0000","40.2100","82632.0000","","","","","","","","","3.0000","1.0000","7.4100","0.6300","158.4600","175.1100","2824.9600"
"133","HIGH","M","Complete Data","-0.8246","47.2500","18.1800","5189.9000","14.1500","32.0000","4326.5400","33.0000","0.0000","101.4000","0.0000","-1.0000","41.9100","600.0000","0.0000","4834.1400","11.0000","15.7800","50390.7900","-0.1093","7.7700","7.0000","150.4200","64.6300","20.0000","187.3200","9790.0600","27.0000","8.0000","134.7000","12.9500","70.8700","162.7300","8437.5300"
"37","CTRL","M","Complete Data","-0.7876","55.5200","149.6800","6076.2000","71.5400","96.2300","4565.3300","20.0000","20.0000","80.4100","70.4700","-0.0659","78.8800","46.5100","0.4671","6708.7900","7.0000","27.4300","59792.8600","0.6742","3.3400","8.0000","334.5000","51.1200","12.0000","65.1000","5506.3200","28.0000","7.0000","123.3200","14.6500","32.5300","5.3400","6325.6100"
"167","5MT","F","Complete Data","-0.7622","72.4400","39.4100","9324.1600","46.2800","173.3700","5582.9600","9.0000","13.0000","256.1600","197.7300","-0.1287","7.4100","37.7000","0.4356","10203.0400","17.0000","53.4900","62524.2900","0.1131","1.0700","20.0000","252.9500","21.2200","20.0000","201.5300","18540.4600","20.0000","10.0000","313.8100","42.3400","10.9100","3.9700","8682.6200"
"142","HIGH","M","Complete Data","-0.7367","54.1900","8.8100","1944.3100","19.9500","77.9100","3790.2800","31.0000","8.0000","114.2100","36.2700","-0.5179","54.7900","27.3900","0.2410","7874.3500","12.0000","45.5100","60917.8900","0.1469","1.3000","12.0000","139.5400","23.2200","6.0000","103.8000","8330.4500","23.0000","7.0000","146.3500","22.1900","38.5700","2.1400","2187.9400"
"233","CTRL","F","Complete Data","-0.7206","35.9000","116.2200","6143.3300","3.0700","100.8300","5041.8300","14.0000","17.0000","104.2000","131.4300","0.1156","92.0900","4.4000","0.5578","9104.8600","38.0000","53.8200","92458.5800","-0.2203","54.7900","20.0000","122.1600","6.7700","42.0000","191.1900","24592.8100","30.0000","15.0000","237.1700","38.5100","19.6200","12.9500","10714.2500"
"149","5MT","F","Complete Data","-0.7141","20.8500","66.4300","3530.9800","18.9900","35.6700","4852.9200","10.0000","13.0000","194.6300","158.7600","-0.1015","65.3700","20.1200","0.4492","6653.3200","24.0000","101.2700","49709.4900","-0.1216","20.7500","8.0000","142.5400","186.4200","5.0000","182.0200","6717.2400","5.0000","1.0000","69.4400","11.5800","29.7000","528.0600","4391.4100"
"24","CTRL","M","Complete Data","-0.7068","15.9500","87.1200","6909.4100","23.5900","23.8900","5189.1400","34.0000","13.0000","124.6200","58.2900","-0.3626","84.4500","8.6800","0.3187","6832.3800","4.0000","38.9700","32350.5700","0.5590","3.9700","24.0000","189.9900","20.8500","16.0000","53.7500","13870.1500","7.0000","7.0000","106.2400","18.2500","17.2500","4.5700","5356.8700"
"163","5MT","F","Complete Data","-0.6789","12.8100","16.5500","2161.2700","7.5400","3.5000","2580.0900","20.0000","5.0000","320.3200","85.7200","-0.5778","5.6700","201.3000","0.2111","8577.3800","2.0000","2.5700","41403.5000","-0.6270","42.5800","9.0000","43.0400","0.4300","12.0000","187.7500","7998.7100","10.0000","10.0000","281.7800","53.8900","63.2300","11.4800","3627.9200"
"195","5MT","F","Complete Data","-0.6366","36.7400","36.6400","2195.9300","13.4800","15.6200","4065.0400","10.0000","17.0000","181.3100","219.6200","0.0956","11.0800","115.5500","0.5478","7261.7500","6.0000","10.5400","56159.5300","-0.3962","3.5000","20.0000","75.8100","8.1400","32.0000","175.2800","21652.3400","7.0000","9.0000","251.2200","55.7900","1.1000","165.7300","6832.8300"
"75","HIGH","F","Complete Data","-0.6358","25.6300","29.1300","8567.8000","48.1800","111.6100","8797.8300","24.0000","4.0000","108.4800","10.0100","-0.8310","27.2300","82.0800","0.0845","7416.3300","14.0000","37.6700","65234.2200","0.1688","45.6100","9.0000","265.6300","23.5900","10.0000","188.9200","7691.2100","23.0000","10.0000","80.6100","17.9500","63.0600","4.7700","5518.8500"
"122","MID","F","Complete Data","-0.6197","64.5000","96.0000","4265.6500","31.0600","38.0700","3181.2400","24.0000","6.0000","125.8300","90.1200","-0.1654","4.5000","313.7500","0.4173","4378.9200","24.0000","90.5200","70751.9200","-0.4572","225.3900","6.0000","93.4900","39.4400","10.0000","250.9800","6733.9400","24.0000","2.0000","81.7200","19.1900","36.2700","437.3700","4810.6100"
"202","CTRL","M","Complete Data","-0.6085","33.2000","40.5100","12030.1700","16.8800","24.4600","8808.9500","18.0000","9.0000","177.5400","224.6900","0.1172","11.7100","102.2400","0.5586","9496.4100","17.0000","37.2700","63582.6800","-0.5587","25.2300","18.0000","90.0600","5.5400","25.0000","318.1200","17462.7300","18.0000","10.0000","270.3700","65.8000","0.9300","24.3200","9847.2200"
"179","5MT","M","Complete Data","-0.5866","46.8500","49.7500","6876.8200","38.2400","49.3500","7579.3600","9.0000","14.0000","114.6500","365.7300","0.5227","20.0500","42.1100","0.7613","9545.3400","34.0000","121.2200","70009.0200","0.7291","0.9700","18.0000","405.5400","44.5800","5.0000","63.5300","9662.9000","13.0000","10.0000","271.7400","70.8000","14.1500","1.3000","7850.1500"
"17","CTRL","M","Complete Data","-0.5845","56.5900","39.8400","2894.2800","23.8200","29.4600","5264.2100","27.0000","6.0000","93.1300","28.2600","-0.5344","8.2400","66.7000","0.2328","4667.6900","17.0000","56.0200","51963.3600","0.9897","52.1900","17.0000","180.3100","73.0100","1.0000","0.9300","9396.2400","15.0000","6.0000","174.1100","45.6500","200.4000","53.8200","4627.7000"
"168","5MT","F","Complete Data","-0.5642","29.4600","20.0500","6484.0700","2.2000","0.0000","529.1200","14.0000","27.0000","273.0400","155.7900","-0.2734","60.8300","1.4300","0.3633","10918.8300","11.0000","34.3000","65352.3200","0.6151","3.0000","10.0000","411.3800","24.1600","11.0000","98.0300","10925.8500","24.0000","6.0000","66.7300","18.5900","19.4500","4.4000","5533.9300"
"172","5MT","F","Complete Data","-0.5508","41.8400","46.5500","14748.1000","11.8500","18.3900","9556.1300","13.0000","15.0000","121.2900","381.2800","0.5173","3.4400","56.1900","0.7587","7747.1000","5.0000","3.7400","73632.7500","0.8105","0.0000","20.0000","453.8500","18.3900","7.0000","47.5100","9518.6500","13.0000","16.0000","378.4500","109.6100","15.7800","1.8700","8063.3100"
"74","HIGH","M","Complete Data","-0.5464","33.7300","41.4100","10456.0500","21.2200","20.2200","12757.1300","21.0000","18.0000","73.0700","46.5100","-0.2221","37.4400","26.2900","0.3889","5340.5900","19.0000","37.9400","76495.5100","-0.0648","2.0000","18.0000","164.8000","21.3500","23.0000","187.6500","19540.0400","24.0000","22.0000","155.9900","45.7500","63.0600","16.2200","11785.9800"
"27","CTRL","M","Incomplete Data","-0.5360","66.0000","58.9900","3732.4600","41.2400","49.2500","3358.7000","23.0000","26.0000","57.5600","49.0200","-0.0801","23.3900","101.4000","0.4599","8588.0000","23.0000","54.6500","53018.4400","","","","","","","","","25.0000","22.0000","198.1300","59.8600","48.4500","6.3700","7556.6200"
"183","5MT","M","Complete Data","-0.5276","23.9900","28.5300","10433.1100","13.4800","28.0300","13396.2600","17.0000","20.0000","165.8700","221.4900","0.1436","6.9400","33.2000","0.5718","13109.0700","11.0000","33.2300","77632.2700","-0.1193","8.4800","24.0000","197.1300","0.0000","24.0000","250.5200","19168.9000","22.0000","14.0000","306.5400","94.7900","2.0400","14.0800","12382.3000"
"63","MID","F","Complete Data","-0.5033","46.2100","65.6300","7601.9200","48.6500","13.7100","6152.5100","19.0000","19.0000","115.0800","62.6300","-0.2951","25.5900","139.1700","0.3524","5006.8700","14.0000","61.2600","47035.0200","-0.1635","3.5000","24.0000","146.0800","9.3100","15.0000","203.2000","14427.2700","16.0000","11.0000","140.5700","46.4500","1.2700","25.9600","6932.5700"
"16","CTRL","M","Complete Data","-0.4755","32.3700","39.5400","7749.4700","22.0200","49.8800","13567.7100","15.0000","16.0000","48.1500","48.0100","-0.0015","203.6000","25.6600","0.4993","6765.7100","41.0000","136.3000","55511.1300","0.7908","10.1400","24.0000","354.4900","51.6500","12.0000","41.4100","15303.6000","8.0000","10.0000","55.3900","19.6900","243.3400","91.4600","4726.6300"
"191","5MT","M","Complete Data","-0.4725","24.0600","58.6300","16033.0800","55.1600","30.2000","11309.8500","14.0000","12.0000","195.7000","193.0600","-0.0068","8.5400","25.8600","0.4966","10047.6800","19.0000","52.1200","80229.7200","0.1337","25.9300","14.0000","212.8500","4.4400","18.0000","162.6600","12924.9700","22.0000","17.0000","316.9500","113.5500","1.7700","18.6500","12753.5800"
