VOLE_ID,DAM,DAY,MONTH,DOB,EAR_TAG,NULL_CHECK,PAIR_INDEX,SEX,SIRE,TRT,AVP_ANTERIOR_PVN,AVP_MEDIAL_PVN,AVP_POSTERIOR_PVN,AVP_SON,OT_ANTERIOR_PVN,OT_MEDIAL_PVN,OT_POSTERIOR_PVN,OT_SON,TH_BNST,TH_PVN,VOLE_COUNT,BEH.OF_BOUTS_CENTER,BEH.OF_DUR_CENTER,BEH.OF_TOT_DIST,BEH.NS_BOUTS_EMPTY,BEH.NS_DUR_EMPTY,BEH.NS_LAT_EMPTY,BEH.NS_BOUTS_STRANGER,BEH.NS_DUR_STRANGER,BEH.NS_LAT_STRANGER,BEH.NS_INDEX,BEH.NS_PCT_WSTRANGER,BEH.NS_TOT_DIST,BEH.SP_BOUTS_CAGEMATE,BEH.SP_DUR_CAGEMATE,BEH.SP_LAT_CAGEMATE,BEH.SP_BOUTS_STRANGER,BEH.SP_DUR_STRANGER,BEH.SP_LAT_STRANGER,BEH.SP_TOT_DIST,BEH.SP_INDEX,BEH.NO_TRIAL2_OBJ1_TOT_DUR,BEH.NO_TRIAL2_OBJ2_TOT_DUR,BEH.NO_TRIAL2_TOT_DIST,BEH.NO_TRIAL3_OBJ1_TOT_DUR,BEH.NO_TRIAL3_OBJ2_TOT_DUR,BEH.NO_TRIAL3_TOT_DIST,BEH.PP_PARTNER_TOT_BOUTS,BEH.PP_PARTNER_TOT_DUR,BEH.PP_PARTNER_LAT,BEH.PP_TOT_DIST,BEH.PP_STRANGER_TOT_BOUTS,BEH.PP_STRANGER_TOT_DUR,BEH.PP_STRANGER_LAT,BEH.PP_INDEX,BEH.VOLE_COUNT
93,140,23,2,2/23/2018,GN32,Complete Data,140-120,M,120,MID,5.5,59.7,42,42.5,43.5,79,75,17.5,27,83,1,12,42.245,76924.305,18.5,80.83,24.225,20,46.495,301.82,-0.53775,0.23115,4855.95,10.5,42.61,84.435,14.5,57.305,88.09,6569.145,-0.32735,3.5,3.47,4374.8,0,6.81,4953.21,12,286.85,0,7223.34,6,84.42,16.88,0.5452,2
87,110,23,2,2/23/2018,GN30,Incomplete Data,110-173,M,173,LOW,,29.7,15,52,,41,36,16.5,27,73,1,5,17.32,30262.29,15,51.72,190.96,0,0,600,-1,0,2608.7,12,41.14,13.68,13,67.37,169.97,4202.61,0.2417,,,,,,,,,,,,,,,1
111,170,26,2,2/26/2018,RD23,Complete Data,170-117,F,117,MID,16.5,34,6,24.5,63.5,44.7,58,14,15,51,1,19.5,44.495,72229.055,22.5,63.03,12.36,1,1.52,383.55,-0.9498,0.0251,9476.015,12,53.17,337.955,12,45.345,304.27,9487.435,-0.0794,37.47,85.05,8634.05,19.585,80.7,7376.19,16.5,180.11,11.81,11559.245,10,111.595,10.945,0.2945,2
43,102,14,2,2/14/2018,BK15,Incomplete Data,102-H1-6E,M,H1-6E,MID,4.5,57.3,,32,6,32,,12,20,41,1,21.5,46.395,63552.76,32,103.235,128.565,4,14.55,53.37,-0.77345,0.1133,4133.695,18,49.8,22.17,0,0,600,6623.19,-1,52.65,68.7,10020.295,34.735,38.855,8109.09,12,147.115,118.22,10518.3,11.5,190.075,213.93,-0.22415,2
154,102,15,5,5/15/2018,BL61,Incomplete Data,102-H1-6EX,M,H1-6EX,5MT,10,41,,35.5,52,45.3,,23,4,39,1,11.5,21.705,95879.03,19,93.325,47.61,22.5,238.405,17.9,0.3424,0.67125,13712.865,19.5,165.315,20.79,26,160.525,5.82,13518.36,-0.00375,73.29,38.905,17540.325,58.375,42.825,13289.135,31.5,175.645,11.33,19298.125,21,160.395,56.405,0.0738,2
160,214,15,5,5/15/2018,RD63,Incomplete Data,214-128,M,128,5MT,6,47.3,,45.5,44,82.3,,28,43,58,1,12,15.98,69764.84,14,133.9,22.79,15,263.7,11.34,0.3265,0.6632,12941.46,18,197.56,3,17,180.65,16.22,13626.19,-0.0447,29.5,36.4,13124.41,14.18,18.32,7571.24,16,274.27,2.47,11909.46,9,165.07,18.59,0.2486,1
218,153,22,6,6/22/2018,BK37,Incomplete Data,153-179,M,179,MID,,55.3,9,51,,48,34,22,39,79,1,,,,21,299.37,4.24,20,137.8,32.47,-0.3696,0.3152,18935.95,23,206.61,7.87,23,263.36,0.63,15118.88,0.1208,,,,,,,,,,,,,,,1
235,H1-6A,30,6,6/30/2018,TL11,Incomplete Data,H1-6A-H1-9BX,M,H1-9BX,CTRL,,49.3,10,61,,50.7,33,19,44,100,1,14.5,36.205,74458.81,14,186.905,147.33,14.5,283.82,6.725,0.2125,0.60625,11299.785,14.5,165.32,28.915,16,230.08,24.775,10603.34,0.1631,21.305,64.515,12314.115,12.715,56.54,8223.655,23,241.34,7.675,20137.855,24,182.265,10.01,0.1282,2
194,XXX,23,5,5/23/2018,GN70,Incomplete Data,XXX-154,M,154,5MT,21,63.7,,27,99.5,70.3,,24,32,106,1,19,43.56,72368.975,16.5,272.875,9.96,12,124.31,15.485,-0.3664,0.3168,9938.055,17.5,242.46,4.555,16.5,191.195,38.54,12679.405,-0.1208,14.55,44.93,11422.575,30.435,28.58,10253.445,11,139.275,30.265,14540.15,15.5,303.82,2.435,-0.3045,2
18,131,6,2,2/6/2018,BL17,Complete Data,131-146,M,146,CTRL,7.5,42.7,20,29,45.5,59,35,14,15,98,1,7,40.61,43037.31,28,158.09,15.02,5,19.12,68.67,-0.7842,0.1079,5184.77,10,39.57,114.61,0,0,600,828.15,-1,43.84,57.99,5940.15,48.11,43.01,8982.16,6,446.11,9.41,4064.36,6,66.97,1.2,0.7389,1
132,114,3,4,4/3/2018,BL42,Incomplete Data,114-108,F,108,HIGH,1.5,30.7,,39.5,20,33,,14,6,42,1,1,1.25,47400.73,24,135.635,29.015,10.5,37.92,63.58,-0.5687,0.21565,7013.77,15,140.16,81.2,7.5,15.1,166.815,5245.54,-0.65015,45.16,59.575,4952.695,18.785,69.12,5646.44,17,352.37,6.39,11414.445,10,42.41,13.545,0.76185,2
83,126,21,2,2/21/2018,GN27,Incomplete Data,126-129,F,129,LOW,,58.3,2,39.5,,67.7,32,13.5,3,57,1,17,74.21,44267.52,21,84.02,16.92,23,124.36,72.07,0.1936,0.5968,6463.14,19,108.98,3.47,8,45.15,180.08,2684.38,-0.4141,85.15,71.71,7602.96,87.25,44.41,5541.32,11,354.89,2.77,7330.52,5,148.55,28.03,0.4099,1
76,H1-2C,28,3,3/28/2018,BK38,Complete Data,H1-2C-H1-5D,M,H1-5D,HIGH,12.5,35.7,3,40,27.5,58.3,42,13,36,71,1,13,28.26,35506.11,17,48.52,104.5,0,0,600,-1,0,4773.52,12,42.64,321.25,5,34.97,233.73,4324.72,-0.0988,6.84,52.42,3181.96,40.11,37.34,6803.94,18,332,9.91,12892.14,17,61.9,67.47,0.6857,1
157,214,15,5,5/15/2018,BK62,Incomplete Data,214-128,F,128,5MT,17,74.3,,63,28,69.3,,26.5,11,151,1,6,7.04,58281.86,18,148.68,38.94,17,235.84,5.74,0.2267,0.6133,8645.21,23,201.77,46.05,25,188.12,4.94,11603.83,-0.035,57.52,87.25,8984.06,9.84,36.9,9338.22,22,204.3,17.85,16398.87,17,208.04,2.77,-0.0091,1
78,102,31,3,3/31/2018,TL40,Complete Data,102-H1-6E,F,H1-6E,HIGH,10,55.3,17,40,35.5,80,49,20,19,56,1,,,,22,112.61,289.76,6,23.96,5.27,-0.6491,0.1754,3496.8,22,102.24,13.91,3,13.85,0,6333.5,-0.7614,56.96,123.56,6915.7,56.56,78.38,5666.35,23,323.79,15.32,16907.93,6,38.94,50.98,0.7853,1
4,H1-2C,10,11,11/10/2017,,Complete Data,H1-2C-H1-5D,F,H1-5D,CTRL,4.5,57,9,27,44,50.3,27,12.5,1,57,1,16.5,48.885,65779.185,16,173.54,54.455,13,128.88,83.32,-0.22565,0.3872,8665.48,23,138.54,12.445,21,141.575,7.09,8956.375,-0.0444,,,,,,,,,,,,,,,2
64,B13-8B,18,2,2/18/2018,RD34,Complete Data,B13-8B-H1-8B,F,H1-8B,MID,23.5,65.3,57,48.5,39.5,70.7,71,18,3,83,1,15,53.22,49231.17667,17.33333333,82.90333333,73.12666667,12,41.28666667,108.82,-0.389266667,0.305333333,5533.866667,10.33333333,88.57666667,23.63333333,12,51.72,18.96333333,5326.75,-0.094266667,43.47666667,55.88666667,5508.446667,31.54333333,40.84,4997.42,14,195.9533333,28.76,9650.053333,10.66666667,136.1566667,8.286666667,0.252566667,3
114,170,26,2,2/26/2018,BL26,Incomplete Data,170-117,F,117,MID,,43,20,35,,46,27,20.5,16,85,1,19.5,44.495,72229.055,22.5,63.03,12.36,1,1.52,383.55,-0.9498,0.0251,9476.015,12,53.17,337.955,12,45.345,304.27,9487.435,-0.0794,37.47,85.05,8634.05,19.585,80.7,7376.19,16.5,180.11,11.81,11559.245,10,111.595,10.945,0.2945,2
41,102,14,2,2/14/2018,TL20,Complete Data,102-H1-6E,M,H1-6E,MID,3.5,49.7,9,28,19.5,44.7,36,10,3,46,1,21.5,46.395,63552.76,32,103.235,128.565,4,14.55,53.37,-0.77345,0.1133,4133.695,18,49.8,22.17,0,0,600,6623.19,-1,52.65,68.7,10020.295,34.735,38.855,8109.09,12,147.115,118.22,10518.3,11.5,190.075,213.93,-0.22415,2
161,196,17,5,5/17/2018,BL63,Complete Data,196-161,F,161,5MT,7.5,29,7,48.5,48.5,30.7,33,20.5,11,112,1,12.5,37.805,51218.325,14,372.12,10.525,3.5,50.8,207.475,-0.7528,0.1236,5877.74,8,375.925,36.82,5.5,32.415,229.63,3165,-0.8167,10.945,31.365,2472.185,8.76,33.73,4743.37,10,170.97,37.355,8407.765,10,133.015,39.99,-0.02105,2
257,B11-8C,7,7,7/7/2018,BK45,Complete Data,B11-8C-H1-4A,M,H1-4A,CTRL,5.5,56.3,7,71,54.5,49.3,53,25.5,27,46,1,27,70.74,88495.13,11.5,106.31,34.015,17,304.635,10.01,0.4809,0.74045,10762.595,18.5,172.84,6.04,14,161.06,35.2,10782.565,-0.03445,55.94,36.405,7173.77,36.67,36.785,8788.44,23,214.465,34.77,19089.345,22.5,171.705,3.94,0.10965,2
223,132,24,6,6/24/2018,RD17,Incomplete Data,132-148,M,148,HIGH,23,55,,42.5,38,59.3,,27,10,85,1,18,36.335,84717.775,16,139.24,1.85,18.5,315.03,23.255,0.38665,0.69335,12365.015,18,181.415,8.04,18.5,238.14,14.115,13862.295,0.13455,31.9,81.65,14028.97,24.69,39.34,11744.8,25,185.42,2.64,19810.26,20,253.15,34.5,-0.1544,2
144,140,3,5,5/3/2018,GN46,Incomplete Data,140-120,M,120,CTRL,6,61,,41.5,49,52,,19.5,23,57,1,,,,15,114.21,6.47,7,312.78,46.05,0.465,0.7325,5923.88,5,109.88,1.63,11,150.75,102.47,5884.93,0.1568,21.12,56.99,3793.12,23.62,29.13,2763.09,8,351.79,153.35,6458.46,6,41.44,31.06,0.7892,1
50,210,19,2,2/19/2018,TL32,Incomplete Data,210-H1-2B,F,H1-2B,LOW,,41,27,25.5,,79.7,62,14.5,14,66,1,13.5,26.675,50278.04,16,64.56,18.08,10,34.73,379.01,-0.3004,0.3498,2952.82,12.5,57.84,53.5,10,45.68,305.02,5006.885,-0.47445,84.265,79.995,6779.895,85.235,32.65,4019.73,17.5,254.835,6.64,11961.825,10.5,83.03,9.18,0.51415,2
39,102,14,2,2/14/2018,BK19,Incomplete Data,102-H1-6E,M,H1-6E,MID,,51,27,37,,33.3,56,17,14,46,1,21.5,46.395,63552.76,32,103.235,128.565,4,14.55,53.37,-0.77345,0.1133,4133.695,18,49.8,22.17,0,0,600,6623.19,-1,52.65,68.7,10020.295,34.735,38.855,8109.09,12,147.115,118.22,10518.3,11.5,190.075,213.93,-0.22415,2
252,H1-7A,5,7,7/5/2018,BK35,Complete Data,H1-7A-H1-6D,F,H1-6D,CTRL,7.5,41.3,7,29,66.5,72.3,38,14.5,13,54,1,13,76.34,44264.09,10,144.61,32.17,11,301.43,7.24,0.3516,0.6758,9129.55,10,367.5,2.1,5,131.73,20.39,6504.92,-0.4723,24.02,22.06,4306.82,8.71,14.45,3132.87,5,368.87,68.5,5721.27,7,146.51,1.9,0.4314,1
117,118,26,2,2/26/2018,RD25,Incomplete Data,118-177,M,177,LOW,5.5,52,,27.5,52,49.7,,15,18,38,1,31,103.67,84551.7,0,0,600,11,190.52,45.91,1,1,970.11,27,134.43,18.39,27,102.34,109.01,6150.77,-0.1355,66.77,58.46,2736.44,14.88,0.67,2342.9,19,133.93,97.03,19812.46,23,204.5,134.87,-0.2085,1
215,140,18,6,6/18/2018,BL15,Complete Data,140-120,M,120,MID,5,45.7,15,45.5,17.5,45.3,34,20.5,41,55,1,7,15.28,53780.07,12,164.13,10.08,10,146.21,81.68,-0.0577,0.4711,4191.15,8,200.83,123.06,8,162.4,8.27,8203.94,-0.1058,0,0,22.24,16.08,9.88,3801.62,8,127.66,23.09,10512.06,11,162.86,11.68,-0.1212,1
153,102,15,5,5/15/2018,TL61,Incomplete Data,102-H1-6EX,M,H1-6EX,5MT,11,61,,43.5,51,61,,19.5,39,64,1,11.5,21.705,95879.03,19,93.325,47.61,22.5,238.405,17.9,0.3424,0.67125,13712.865,19.5,165.315,20.79,26,160.525,5.82,13518.36,-0.00375,73.29,38.905,17540.325,58.375,42.825,13289.135,31.5,175.645,11.33,19298.125,21,160.395,56.405,0.0738,2
190,XXX,23,5,5/23/2018,BK69,Incomplete Data,XXX-154,M,154,5MT,1.5,54.3,,24.5,35.5,50.7,,14,45,109,1,19,43.56,72368.975,16.5,272.875,9.96,12,124.31,15.485,-0.3664,0.3168,9938.055,17.5,242.46,4.555,16.5,191.195,38.54,12679.405,-0.1208,14.55,44.93,11422.575,30.435,28.58,10253.445,11,139.275,30.265,14540.15,15.5,303.82,2.435,-0.3045,2
65,B13-8B,18,2,2/18/2018,BK27,Complete Data,B13-8B-H1-8B,F,H1-8B,MID,1.5,31.7,29,49,25.5,52.7,30,25.5,8,119,1,15,53.22,49231.17667,17.33333333,82.90333333,73.12666667,12,41.28666667,108.82,-0.389266667,0.305333333,5533.866667,10.33333333,88.57666667,23.63333333,12,51.72,18.96333333,5326.75,-0.094266667,43.47666667,55.88666667,5508.446667,31.54333333,40.84,4997.42,14,195.9533333,28.76,9650.053333,10.66666667,136.1566667,8.286666667,0.252566667,3
243,H1-3E,2,7,7/2/2018,GN32,Incomplete Data,H1-3E-H1-1A,M,H1-1A,LOW,19,35.7,,43,55.5,35.7,,18,15,49,1,14.5,25.705,50125.09,11,261.995,103.62,10.5,251.535,17.535,-0.0203,0.4898,7825.65,12.5,137.12,64.68,14,357.725,39.635,9322.195,0.44725,10.14,33.65,4777.755,17.355,23.025,8283.875,11.5,165.765,0.2,13075.63,18,340.425,25.875,-0.30695,2
47,210,19,2,2/19/2018,BK24,Complete Data,210-H1-2B,F,H1-2B,LOW,3,64.3,49,29,49,81.3,61,10,13,99,1,13.5,26.675,50278.04,16,64.56,18.08,10,34.73,379.01,-0.3004,0.3498,2952.82,12.5,57.84,53.5,10,45.68,305.02,5006.885,-0.47445,84.265,79.995,6779.895,85.235,32.65,4019.73,17.5,254.835,6.64,11961.825,10.5,83.03,9.18,0.51415,2
109,153,26,2,2/26/2018,TL25,Incomplete Data,153-179,M,179,MID,22.5,63.7,,34,74,52,,27.5,39,61,1,,,,,,,,,,,,,,,,,,,,0.0252,12.91,16.35,6499.86,29.6,14.48,4830.22,,,,,,,,,1
124,122,7,3,3/7/2018,RD24,Complete Data,122-112,M,112,MID,4.5,72.7,14,37.5,47,68,55,16.5,17,123,1,,,,,,,,,,,,,,,,,,,,0.075,0,0,167.74,79.55,14.85,5019.25,,,,,,,,,1
67,137,24,3,3/24/2018,TL37,Complete Data,137-123,M,123,HIGH,5.5,41.3,18,34,24.5,66.3,56,22,26,90,1,7,25.53,44277.6,23,74.91,61.26,40,131.56,6.47,0.2744,0.6372,8452.44,23,146.68,77.41,2,4.37,59.69,3964.87,-0.9421,72.04,86.19,5922.72,107.34,33.47,7648.83,10,238.47,12.21,7846.65,12,174.44,5.14,0.1551,1
71,135,26,3,3/26/2018,TL38,Incomplete Data,135-124,F,124,HIGH,8,40,,37.5,40.5,45.7,,15,15,114,1,4,15.65,27873.51,16,46.51,22.79,8,18.32,474.14,-0.4348,0.2826,4992.6,32,183.12,30.16,10,13.98,12.78,7088.16,-0.8581,9.04,24.36,6491.88,11.85,63.26,14877.05,11,227.33,91.49,9085.24,12,203.64,3,0.055,1
165,197,19,5,5/19/2018,RD65,Incomplete Data,197-159,F,159,5MT,12.5,66.7,,38,69.5,58,,20.5,3,96,1,14,43.895,63938.305,11.5,264.6,34.12,20,176.76,19.565,-0.20105,0.39945,10560.935,22,190.27,15.18,8,30.465,4.185,7108.275,-0.6632,50.95,29.73,7904.115,24.24,86.685,3056.04,15,332.165,2.035,14733.155,15.5,149.78,22.69,0.3641,2
173,232,20,5,5/20/2018,BK66,Complete Data,232-165,F,165,5MT,2,60.7,45,39.5,57,53.3,55,13.5,10,124,1,5,3.74,73632.75,13,121.29,3.44,15,381.28,56.19,0.5173,0.7587,7747.1,13,378.45,15.78,16,109.61,1.87,8063.31,-0.5508,41.84,46.55,14748.1,11.85,18.39,9556.13,20,453.85,0,9518.65,7,47.51,18.39,0.8105,1
28,132,7,2,2/7/2018,GN 18,Complete Data,132-148,M,148,CTRL,10,38.3,34,27.5,41,70.3,45,17,19,94,1,23,54.65,53018.44,23,57.56,23.39,26,49.02,101.4,-0.0801,0.4599,8588,25,198.13,48.45,22,59.86,6.37,7556.62,-0.536,66,58.99,3732.46,41.24,49.25,3358.7,,,,,,,,,1
152,170,8,5,5/8/2018,BL61,Complete Data,170-117,M,117,MID,12,51.3,36,35.5,50,93.7,50,14.5,31,58,1,17,36.97,73552.49,13,280.15,2.74,10,117.85,37.14,-0.4078,0.2961,8183.01,12,181.41,0.97,7,160.16,48.18,5860.56,-0.0622,45.28,26.63,6491.67,23.69,14.35,7188.21,13,153.45,58.69,14804.48,17,346.21,1.13,-0.3858,1
9,B5-8A,13,11,11/13/2017,,Complete Data,B5-8A-H1-4C,F,H1-4C,CTRL,13.5,70.7,23,49.5,57.5,76.3,82,24.5,26,47,1,,,,6,251.05,7.77,2,8.21,520.65,-0.9367,0.0317,1587.75,0,0,600,1,1.77,159.23,9888.3,1,,,,,,,,,,,,,,,1
13,144,6,2,2/6/2018,BK14,Complete Data,144-134,F,134,CTRL,9,56.7,13,29.5,39.5,33,40,18.5,22,62,1,23,42.81,75383.37,19,107.64,48.11,28,112.71,5.84,0.023,0.5115,6944.83,30,138.84,30.83,2,4.24,76.41,3137.82,-0.9407,23.09,88.79,5885.33,14.08,22.42,3782.53,9,369.87,9.74,8447.42,12,84.75,41.41,0.6272,1
96,105,24,2,2/24/2018,RD39,Complete Data,105-121,M,121,LOW,5.5,69.7,18,31,72,81.7,100,17.5,19,61,1,5,21.54,28996.865,22.5,118.7,14.23,4.5,44.93,343.395,-0.6133,0.19335,2925.705,16,110.41,76.71,12,61.59,5.91,4364.5,-0.37885,1.5,46.83,2609.175,21.485,45.425,3225.035,6,101.35,2.4,7178.445,6.5,186.27,190.84,-0.1939,2
138,210,7,4,4/7/2018,TL42,Complete Data,210-H1-2B,F,H1-2B,HIGH,2.5,46,37,26.5,32,62.7,58,9.5,6,54,1,23,136.14,59164.97,18,117.12,171.17,11,35.2,7.01,-0.5378,0.2311,4110.3,9,45.95,96.23,2,3,20.22,1870.3,-0.8774,36.37,87.82,8951.23,30.4,34.77,8204.13,7,172.51,51.32,7509.19,9,267.7,2.44,-0.2162,1
73,135,26,3,3/26/2018,GN40,Complete Data,135-124,F,124,HIGH,2,36.3,16,29.5,31.5,46,45,14,3,63,1,4,15.65,27873.51,16,46.51,22.79,8,18.32,474.14,-0.4348,0.2826,4992.6,32,183.12,30.16,10,13.98,12.78,7088.16,-0.8581,9.04,24.36,6491.88,11.85,63.26,14877.05,11,227.33,91.49,9085.24,12,203.64,3,0.055,1
147,130,22,5,5/22/2018,RD69,Complete Data,130-147,F,147,5MT,2.5,63.3,66,41,35.5,68.3,46,11.5,12,89,1,24,101.27,49709.49,10,194.63,65.37,13,158.76,20.12,-0.1015,0.4492,6653.32,5,69.44,29.7,1,11.58,528.06,4391.41,-0.7141,20.85,66.43,3530.98,18.99,35.67,4852.92,8,142.54,20.75,6717.24,5,182.02,186.42,-0.1216,1
23,135,7,2,2/7/2018,BK21,Incomplete Data,135-124,M,124,CTRL,,53.3,43,49.5,,63,50,15,7,46,1,4,38.97,32350.57,34,124.62,84.45,13,58.29,8.68,-0.3626,0.3187,6832.38,7,106.24,17.25,7,18.25,4.57,5356.87,-0.7068,15.95,87.12,6909.41,23.59,23.89,5189.14,24,189.99,3.97,13870.15,16,53.75,20.85,0.559,1
134,210,7,4,4/7/2018,TL43,Complete Data,210-H1-2B,M,H1-2B,HIGH,4,52.7,14,44.5,25,86,57,13.5,28,58,1,17,35.6,52035.42,11,53.99,5.31,43,174.61,53.79,0.5276,0.7638,5103.65,22,94.83,1.63,9,51.79,51.48,2991.95,-0.2935,10.54,67.87,3189.07,35.67,87.39,3370.12,10,172.54,12.48,7246.98,9,63.16,4.74,0.4641,1
217,106,19,6,6/19/2018,GN27,Complete Data,106-119,F,119,LOW,3.5,52,2,71,36,44.3,39,22,5,113,1,3,3.74,41367.97,8,133.1,40.01,9,392.19,4.17,0.4932,0.7466,8778.1,12,340.81,10.64,8,195.66,0,7519.47,-0.2706,13.55,46.38,4277.55,16.92,23.12,6659.59,18,354.89,0.4,11368.43,11,114.88,28.8,0.5109,1
86,110,23,2,2/23/2018,GN29,Complete Data,110-173,M,173,LOW,1,47,17,29.5,37.5,66,37,13.5,8,93,1,5,17.32,30262.29,15,51.72,190.96,0,0,600,-1,0,2608.7,12,41.14,13.68,13,67.37,169.97,4202.61,0.2417,,,,,,,,,,,,,,,1
143,140,3,5,5/3/2018,BK46,Complete Data,140-120,M,120,CTRL,6,38.7,15,37.5,43.5,40,39,12,37,69,1,,,,15,114.21,6.47,7,312.78,46.05,0.465,0.7325,5923.88,5,109.88,1.63,11,150.75,102.47,5884.93,0.1568,21.12,56.99,3793.12,23.62,29.13,2763.09,8,351.79,153.35,6458.46,6,41.44,31.06,0.7892,1
136,210,7,4,4/7/2018,BK42,Complete Data,210-H1-2B,F,H1-2B,HIGH,5,53,62,22,39,70.7,84,18.5,12,97,1,23,136.14,59164.97,18,117.12,171.17,11,35.2,7.01,-0.5378,0.2311,4110.3,9,45.95,96.23,2,3,20.22,1870.3,-0.8774,36.37,87.82,8951.23,30.4,34.77,8204.13,7,172.51,51.32,7509.19,9,267.7,2.44,-0.2162,1
258,B11-8C,7,7,7/7/2018,GN17,Complete Data,B11-8C-H1-4A,M,H1-4A,CTRL,8.5,54,11,42,49,47,64,13.5,21,92,1,27,70.74,88495.13,11.5,106.31,34.015,17,304.635,10.01,0.4809,0.74045,10762.595,18.5,172.84,6.04,14,161.06,35.2,10782.565,-0.03445,55.94,36.405,7173.77,36.67,36.785,8788.44,23,214.465,34.77,19089.345,22.5,171.705,3.94,0.10965,2
189,126,22,5,5/22/2018,BK71,Incomplete Data,126-129,M,129,5MT,16.5,44,,52,26.5,42.3,,26,2,38,1,18.33333333,47.65,61688.92,11.66666667,147.5566667,32.82,13.66666667,236.5466667,43.28666667,0.243166667,0.6216,8443.353333,15.33333333,182.0166667,69.88,20.66666667,210.32,9.276666667,12609.13333,0.07,34.26666667,23.72333333,12822.99333,26.86,20.51,9469.16,15.66666667,104.6933333,6.573333333,15814.12,18,346.9066667,7.183333333,-0.539866667,3
110,170,26,2,2/26/2018,GR31,Complete Data,170-117,M,117,MID,8,53,22,62,53.5,51.7,46,29.5,5,17,1,10,14.95,66547.37,36,120.92,6.44,8,29.53,35.14,-0.6074,0.1963,12071.38,3,12.18,10.78,35,122.86,20.09,5397.7,0.8196,0,0,35.14,18.22,43.68,9170.89,12,82.62,0,10750.26,9,416.58,15.25,-0.669,1
103,106,25,2,2/25/2018,BK35,Incomplete Data,106-119,M,119,LOW,,61.7,25,41,,32.7,38,19,22,76,1,19,92.245,51834.58,16,54.705,126.28,13.5,104.355,64.635,0.3309,0.66545,5719.065,8,35.62,316.965,14,59.86,7.39,3571.395,0.53375,24.625,40.66,5147.51,9.91,29.05,4121.185,6,214.63,99.58,5851.14,8,172.47,63.88,0.0963,2
30,H1-2C,10,2,2/10/2018,RD26,Complete Data,H1-2C-H1-5D,F,H1-5D,MID,8,33.3,7,32.5,40.5,44.7,45,23.5,15,69,1,,,,15,95.26,153.52,28,75.44,29.06,-0.1161,0.4419,5716.22,11,16.32,105.91,15,108.54,11.18,3899.53,0.7386,45.45,54.42,5762.08,81.11,42.24,4768.79,,,,,,,,,1
79,H1-3E,21,2,2/21/2018,BK28,Incomplete Data,H1-3E-H1-1A,F,H1-1A,LOW,12.5,44.7,,50.5,63.5,49.7,,36.5,24,105,1,9,25.56,26419.4,18,47.51,34.53,9,14.55,106.54,-0.5311,0.2345,4377.35,14,104.97,13.55,16,72.64,70.54,5249.1,-0.182,38.47,52.65,6154.14,16.15,36.74,7784.49,12,376.91,4.47,6886.2,7,75.01,34.77,0.668,1
221,137,22,6,6/22/2018,GN11,Complete Data,137-123,M,123,HIGH,37.5,73,26,46,92,78.3,59,29.5,38,51,1,20,57.19,81491.28,14,151.85,143.68,17,221.92,3.7,0.1875,0.5937,10589.4,23,180.85,72.57,26,143.44,3.27,14023.09,-0.1154,,,,,,,,,,,,,,,1
148,130,22,5,5/22/2018,BL69,Incomplete Data,130-147,M,147,5MT,24,76,,70.5,40.5,36.3,,27,59,88,1,26,104.2,55985.71,11,236.4,1.3,15,209.94,19.39,-0.0593,0.4704,10485.9,17,197.16,34,14,244.31,9.48,8804.08,0.1068,31.83,66.97,7890.16,13.25,30.3,9419.9,9,73.71,12.75,16187.38,9,469.24,1.94,-0.7285,1
